FOV,nuclei counted
X10_Y10,234.5
X10_Y11,294.25
X10_Y12,378.25
X10_Y13,352.0
X10_Y14,261.75
X10_Y15,265.5
X10_Y2,220.25
X10_Y3,231.5
X10_Y4,308.0
X10_Y5,342.25
X10_Y6,360.25
X10_Y7,335.0
X10_Y8,345.25
X10_Y9,353.25
X11_Y1,126.5
X11_Y10,179.25
X11_Y11,280.0
X11_Y12,287.5
X11_Y13,256.25
X11_Y14,270.75
X11_Y15,276.0
X11_Y2,247.75
X11_Y3,292.75
X11_Y4,273.75
X11_Y5,283.5
X11_Y6,277.25
X11_Y7,306.0
X11_Y8,289.75
X11_Y9,257.25
X12_Y0,116.25
X12_Y1,265.0
X12_Y10,197.75
X12_Y11,219.75
X12_Y12,215.5
X12_Y13,201.25
X12_Y14,192.25
X12_Y15,225.75
X12_Y2,249.0
X12_Y3,242.25
X12_Y4,295.0
X12_Y5,264.75
X12_Y6,299.0
X12_Y7,325.5
X12_Y8,336.25
X12_Y9,275.0
X13_Y0,105.25
X13_Y1,289.0
X13_Y10,251.5
X13_Y11,301.5
X13_Y12,290.0
X13_Y13,265.25
X13_Y14,253.75
X13_Y15,220.0
X13_Y2,241.5
X13_Y3,237.25
X13_Y4,303.5
X13_Y5,347.75
X13_Y6,306.0
X13_Y7,346.5
X13_Y8,300.0
X13_Y9,266.0
X14_Y0,112.75
X14_Y1,276.75
X14_Y10,264.5
X14_Y11,358.25
X14_Y12,329.5
X14_Y13,295.0
X14_Y14,253.0
X14_Y15,299.75
X14_Y16,41.5
X14_Y2,234.0
X14_Y3,256.0
X14_Y4,353.25
X14_Y5,371.5
X14_Y6,330.0
X14_Y7,357.5
X14_Y8,351.5
X14_Y9,267.75
X15_Y0,105.75
X15_Y1,276.75
X15_Y10,245.0
X15_Y11,374.75
X15_Y12,260.25
X15_Y13,270.75
X15_Y14,231.75
X15_Y15,227.25
X15_Y2,235.5
X15_Y3,204.25
X15_Y4,293.0
X15_Y5,344.25
X15_Y6,275.25
X15_Y7,368.5
X15_Y8,327.5
X15_Y9,286.0
X16_Y0,83.75
X16_Y1,297.25
X16_Y10,238.75
X16_Y11,250.75
X16_Y12,207.5
X16_Y13,321.5
X16_Y14,178.25
X16_Y15,157.25
X16_Y2,270.0
X16_Y3,241.25
X16_Y4,301.25
X16_Y5,306.75
X16_Y6,271.0
X16_Y7,283.75
X16_Y8,297.0
X16_Y9,264.25
X17_Y0,65.75
X17_Y1,238.75
X17_Y10,207.75
X17_Y11,215.0
X17_Y12,213.5
X17_Y13,345.75
X17_Y14,301.75
X17_Y15,87.75
X17_Y2,255.25
X17_Y3,230.5
X17_Y4,223.75
X17_Y5,316.25
X17_Y6,299.0
X17_Y7,254.5
X17_Y8,232.25
X17_Y9,203.5
X18_Y1,175.5
X18_Y10,256.5
X18_Y11,238.75
X18_Y12,414.25
X18_Y13,333.5
X18_Y14,210.75
X18_Y2,274.0
X18_Y3,212.75
X18_Y4,226.5
X18_Y5,284.5
X18_Y6,337.0
X18_Y7,272.5
X18_Y8,225.25
X18_Y9,214.25
X19_Y1,94.25
X19_Y10,241.0
X19_Y11,402.5
X19_Y12,283.0
X19_Y13,301.0
X19_Y14,14.0
X19_Y2,240.25
X19_Y3,252.5
X19_Y4,243.25
X19_Y5,254.5
X19_Y6,260.5
X19_Y7,328.25
X19_Y8,232.5
X19_Y9,227.75
X20_Y10,160.5
X20_Y11,401.5
X20_Y12,263.0
X20_Y13,125.0
X20_Y2,116.25
X20_Y3,299.75
X20_Y4,255.75
X20_Y5,239.5
X20_Y6,239.75
X20_Y7,248.5
X20_Y8,241.25
X20_Y9,255.25
X21_Y10,173.5
X21_Y11,224.0
X21_Y12,100.25
X21_Y2,24.75
X21_Y3,161.75
X21_Y4,276.0
X21_Y5,302.5
X21_Y6,260.5
X21_Y7,250.5
X21_Y8,259.0
X21_Y9,266.0
X22_Y10,130.0
X22_Y3,31.25
X22_Y4,144.25
X22_Y5,286.5
X22_Y6,266.75
X22_Y7,240.75
X22_Y8,191.75
X22_Y9,209.5
X23_Y4,2110.5
X23_Y5,45.0
X23_Y6,63.25
X23_Y7,75.25
X23_Y8,50.75
